"Phylostratum"	"GeneID"	"0d"	"1d"	"1.5d"	"2d"	"2.5d"	"3d"	"3.5d"
1	"at1g08860"	34.0270881364681	35.1726854800365	35.4909698236466	36.1031894316098	34.4759129473243	33.9398413275357	31.8258005614175
1	"at1g08890"	9.1052302537946	9.08592772732259	9.01221837222893	9.0993832483038	9.22960583212765	9.23636460439846	9.45784592027563
1	"at1g08900"	11.2896302896605	11.119070812738	11.2491910436197	10.9871459497771	11.0569248045939	11.0336168478613	10.9507416410535
1	"at1g08920"	7.25260287505523	7.31000378021055	7.18587041085268	7.90328265650933	7.47707851444536	7.53409385930756	7.89940934476468
1	"at1g08930"	19.1129731373722	17.2642857361476	17.2714958106715	16.7524918499681	16.9758652719301	17.1693506483964	17.2412699264753
1	"at1g08960"	28.4631281193734	29.0829294839458	29.7495733048744	28.8604574211922	28.7544662428539	28.9384138787426	28.3311397938352
1	"at1g08970"	103.986374231562	102.458217062861	103.790729587622	103.256089222667	102.97365944866	101.955420437109	100.946081771466
1	"at1g08980"	48.1017104578548	48.2784130554143	47.8689614620259	47.3841839663159	48.225937204088	49.54325318415	51.4399446254581
1	"at1g08990"	7.17301488028903	7.27247102549055	7.52850872330116	7.39074381189993	7.39444727341482	7.28490333925053	7.48992905971763
1	"at1g09000"	45.7331318424544	45.9769633149505	45.4268027356048	45.5867845598956	43.9898445582135	44.2930327417698	42.877307797671
1	"at1g09010"	27.9067827510849	27.6505152773067	28.0829438757482	27.6130383907001	27.5452199973255	27.6278016479851	27.5066171119816
1	"at1g09020"	40.6033198232024	40.8178452234596	41.0789702418663	41.7689600640421	40.6120434572016	41.0389720366624	40.4550007742913
1	"at1g09030"	7.39227005197721	7.46579889294921	7.773275954152	7.52350849438246	7.43817174188664	7.7859114248766	7.47124935107497
2	"at1g09060"	25.761096143522	25.6086901551592	25.8882347791332	25.8719811855833	28.5030176571193	27.4953963069765	28.5299792947466
1	"at1g09070"	62.1755375891126	60.9124143966612	61.374711328855	61.527970317688	60.9860368175287	61.0115933671744	61.8872852419686
1	"at1g09080"	10.0523615319252	9.42296719812206	9.95926054063194	10.2934536337049	9.46301393339501	9.36267630606583	9.25035880908023
1	"at1g09090"	7.4964511560362	7.45310657360924	7.54061932779137	7.41507814543411	7.35617263420239	7.39015616493595	7.24532319266416
1	"at1g09100"	43.1202136520582	43.20491600516	43.4163918237421	42.0985449226238	41.739229562842	42.1968801882066	41.1835857866932
1	"at1g09130"	64.3539243684531	65.676232257287	66.1868086373222	66.2687982553351	65.0716392594453	67.1486738132756	68.1730997589089
1	"at1g09140"	43.238152471703	42.8151176569239	42.8519581567798	41.9636338966139	42.0030612553298	41.5069515443427	42.5968798695786
1	"at1g09155"	11.2679314610751	11.8546829659659	11.2828947137582	11.0254092057007	11.0855270128556	11.0520736323289	10.7270795574567
16	"at1g09176"	7.15653695952466	7.3973967027762	7.32151233746193	7.18485289171669	7.55536998086296	7.53839874253441	7.41685733691153
1	"at1g09180"	22.4142862614609	22.0073613595022	22.2116238950699	22.0689660287797	21.6136879576356	20.7882980389085	20.3813741478879
1	"at1g09190"	45.8417315697983	46.6882041035111	45.6711549294616	45.5105143931758	43.7737647367651	44.6516263360941	43.6741737055739
1	"at1g09200"	78.5277213799262	80.8525363009352	80.5059117717208	82.0964186799438	82.0391837220123	81.8378674577116	80.986290226651
1	"at1g09210"	172.391345690975	178.194801766859	173.124386965139	177.319239129625	176.337379290991	177.115803058937	177.502037406496
1	"at1g09220"	25.500196195232	25.7026689465756	25.8254617142222	26.0100116010131	24.9318833210263	25.1293053907763	24.7808794749816
2	"at1g09230"	37.0351986915044	37.3553125615636	37.6651025585152	38.1683077529919	37.2914648834094	38.1410028885315	38.0466566316813
1	"at1g09240"	8.93071805612387	8.92042405618167	8.85563974058719	8.99574144351661	8.76879719954747	8.8751935586363	8.97848700442425
11	"at1g09245"	7.89805481659203	7.85319644291954	7.59469388794327	7.48683498735069	7.54224188877181	7.66565656493578	7.96911666932915
1	"at1g09270"	83.9757599660539	81.9482273179129	82.9587783846902	82.2580114766978	82.9447593498761	82.311927018304	81.6218142620532
1	"at1g09280"	44.6126591721009	44.3441455060895	44.4945689956992	43.8424441811728	43.3588056293365	43.5564047991608	43.1970923367948
1	"at1g09300"	43.1295842434514	43.2012904498687	42.819897935735	42.9640421433185	42.1305526790524	42.6372334364535	41.945289665746
3	"at1g09320"	33.5227461272362	34.0444961201167	34.284288626671	33.7152545328724	33.1406410230694	33.1544765651219	32.6597888917563
1	"at1g09330"	8.73181869788486	7.94896271266784	8.37535306201181	8.31944618234261	8.23502217906009	8.20254467472694	8.16965742131571
1	"at1g09340"	65.8088739996316	66.1365620611186	65.4724757494557	66.7266628853028	67.4721149373289	68.2253018472592	70.0121317780362
1	"at1g09350"	8.12826384891853	8.2093318847388	7.6651532581103	7.99285906778959	8.44747557769901	8.03913554589734	8.11028942375352
1	"at1g09410"	15.621941173024	15.6996685529992	15.3353644774834	15.3191069080549	14.9643769605548	15.0409939609399	15.1061946582246
15	"at1g09415"	38.5493025847301	39.15660143508	38.3820268202118	37.5517635855228	37.8165714235835	37.1524337956194	36.5256682348626
1	"at1g09430"	42.495087152864	42.0477592150848	41.764052305647	41.7719739443309	41.9227833151669	42.4049064482818	43.1733975558266
1	"at1g09450"	45.4876492404912	43.9843766717525	44.4324321765493	43.5884970007577	43.507779882024	43.1438327874955	42.3711523965417
6	"at1g09470"	64.5334141740314	64.8792739688589	65.2338411117041	66.533521242149	67.7477239839475	69.9682374900986	72.2770851112394
10	"at1g09483"	9.82811208044266	9.64861542408627	9.2657408151326	9.66919063566886	10.1062065383307	10.3795011298171	10.5734530375761
1	"at1g09530"	24.9749217041816	25.4703916036798	25.3833133105023	24.6521182819032	24.3919564028642	24.4851856713951	24.6524988311675
1	"at1g09540"	8.68304220562806	8.55790388604654	8.22608988719449	8.36437895715977	8.42674629041242	8.26505251900589	8.06013757919729
1	"at1g09550"	10.7062890509538	8.79265869416414	9.37455125658724	9.00550719431684	10.9976886603039	9.24864647542576	9.17928168977864
1	"at1g09560"	18.5751023340228	18.3065774982344	18.3826063253818	18.6598527608458	18.5061572848242	18.5527258720532	18.7504782005419
1	"at1g09570"	82.9405059843165	85.7186095325798	91.0983370591278	92.9448988363491	95.139783335915	95.2583104253578	95.2645501096208
1	"at1g09590"	260.046353363779	267.561256474761	261.945113470381	266.704072400063	260.519539780655	260.094645141319	253.32880903728
1	"at1g09610"	13.2613110137112	13.1076204510405	13.1202092576882	13.2229587233802	12.831468221109	12.9911423762503	12.8400921399262
1	"at1g09630"	57.8049039193278	57.7037982583048	57.9287256063447	58.3218338443793	58.5088796007054	57.9771406164918	57.9963589373824
1	"at1g09690"	406.839127099228	400.548309395593	403.947314117987	407.554797565437	399.13408937372	397.975258159875	397.993878247665
1	"at1g09700"	44.6164239094012	45.6485010331631	45.5130974585142	45.838733356872	44.3693208294236	44.6927343685776	44.9145713944752
